yearID,Rank,G,W,L,LgWin,WSWin,R,AB,H,BB,SB,ER,ERA,HA,E,DP,name,attendance,BPF,PPF
2002,4,162,62,100,N,N,737,5535,1415,524,140.0,834,5.21,1587,130,153.0,Kansas City Royals,1323036.0,110,111
2002,3,162,92,70,N,N,713,5554,1464,428,96.0,598,3.69,1311,90,134.0,Los Angeles Dodgers,3131255.0,92,92
2002,6,162,56,106,N,N,627,5415,1369,500,94.0,752,4.73,1468,103,154.0,Milwaukee Brewers,1969153.0,98,99
2002,1,161,94,67,N,N,768,5582,1518,472,79.0,662,4.12,1454,74,124.0,Minnesota Twins,1924473.0,100,100
2002,2,162,83,79,N,N,735,5479,1432,575,118.0,641,3.97,1475,139,160.0,Montreal Expos,812045.0,103,103
2002,1,161,103,58,N,N,897,5601,1540,640,100.0,625,3.87,1441,127,117.0,New York Yankees,3465807.0,100,99
2002,5,161,75,86,N,N,690,5496,1409,486,87.0,624,3.89,1408,144,138.0,New York Mets,2804838.0,97,97
2002,1,162,103,59,N,N,800,5558,1450,609,46.0,593,3.68,1391,102,144.0,Oakland Athletics,2169811.0,98,97
2002,3,161,80,81,N,N,710,5523,1428,640,104.0,671,4.17,1381,88,156.0,Philadelphia Phillies,1618467.0,94,94
2002,4,161,72,89,N,N,641,5330,1300,537,86.0,664,4.23,1447,115,177.0,Pittsburgh Pirates,1784988.0,102,103
2002,5,162,66,96,N,N,662,5515,1393,547,71.0,737,4.62,1522,128,162.0,San Diego Padres,2220601.0,90,91
2002,3,162,93,69,N,N,814,5569,1531,629,137.0,654,4.07,1422,88,134.0,Seattle Mariners,3542938.0,97,95
2002,2,162,95,66,Y,N,783,5497,1465,616,74.0,566,3.54,1349,90,166.0,San Francisco Giants,3253203.0,95,94
2002,1,162,97,65,N,N,787,5505,1475,542,86.0,595,3.7,1355,103,168.0,St. Louis Cardinals,3011756.0,98,97
2002,5,161,55,106,N,N,673,5604,1418,456,102.0,846,5.29,1567,126,168.0,Tampa Bay Devil Rays,1065742.0,97,99
2002,4,162,72,90,N,N,843,5618,1510,554,62.0,824,5.15,1528,99,152.0,Texas Rangers,2352397.0,106,107
2002,3,162,78,84,N,N,813,5581,1457,522,71.0,767,4.8,1504,107,159.0,Toronto Blue Jays,1637900.0,104,104
2003,3,162,77,85,N,N,736,5487,1473,476,129.0,680,4.28,1444,105,138.0,Anaheim Angels,3061094.0,98,97
2003,3,162,84,78,N,N,717,5570,1467,531,76.0,621,3.84,1379,107,132.0,Arizona Diamondbacks,2805542.0,108,109
2003,1,162,101,61,N,N,907,5670,1608,545,68.0,663,4.1,1425,121,166.0,Atlanta Braves,2401084.0,101,100
2003,4,163,71,91,N,N,743,5665,1516,431,89.0,767,4.76,1579,105,164.0,Baltimore Orioles,2454523.0,99,99
2003,2,162,95,67,N,N,961,5769,1667,620,88.0,729,4.48,1503,113,130.0,Boston Red Sox,2724165.0,105,103
2003,2,162,86,76,N,N,791,5487,1445,519,77.0,663,4.17,1364,93,154.0,Chicago White Sox,1939524.0,102,102
2003,1,162,88,74,N,N,724,5519,1431,492,73.0,619,3.83,1304,106,157.0,Chicago Cubs,2962630.0,101,101
2003,5,162,69,93,N,N,694,5509,1349,524,80.0,818,5.09,1578,141,152.0,Cincinnati Reds,2355259.0,95,96
2003,4,162,68,94,N,N,699,5572,1413,466,86.0,682,4.21,1477,126,178.0,Cleveland Indians,1730002.0,96,97
2003,4,162,74,88,N,N,853,5518,1472,619,63.0,821,5.2,1629,116,165.0,Colorado Rockies,2334085.0,115,116
2003,5,162,43,119,N,N,591,5466,1312,443,98.0,847,5.3,1616,138,194.0,Detroit Tigers,1368245.0,93,95
2003,2,162,91,71,Y,Y,751,5490,1459,515,150.0,648,4.04,1415,78,162.0,Florida Marlins,1303215.0,98,98
2003,2,162,87,75,N,N,805,5583,1466,557,66.0,622,3.86,1350,95,149.0,Houston Astros,2454241.0,103,102
2003,3,162,83,79,N,N,836,5568,1526,476,120.0,808,5.05,1569,108,143.0,Kansas City Royals,1779895.0,107,108
2003,2,162,85,77,N,N,574,5458,1328,407,80.0,511,3.16,1254,119,164.0,Los Angeles Dodgers,3138626.0,94,94
2003,6,162,68,94,N,N,714,5548,1423,547,99.0,810,5.02,1590,114,142.0,Milwaukee Brewers,1700354.0,98,100
2003,1,162,90,72,N,N,801,5655,1567,512,94.0,716,4.41,1526,87,114.0,Minnesota Twins,1946011.0,101,100
2003,4,162,83,79,N,N,711,5437,1404,522,100.0,640,4.01,1467,102,152.0,Montreal Expos,1025639.0,105,105
2003,1,163,101,61,Y,N,877,5605,1518,684,98.0,653,4.02,1512,114,126.0,New York Yankees,3465600.0,98,97
2003,5,161,66,95,N,N,642,5341,1317,489,70.0,704,4.48,1497,118,158.0,New York Mets,2140599.0,97,98
2003,1,162,96,66,N,N,768,5497,1398,556,48.0,582,3.63,1336,107,145.0,Oakland Athletics,2216596.0,99,98
2003,3,162,86,76,N,N,791,5543,1448,651,72.0,648,4.04,1386,97,146.0,Philadelphia Phillies,2259948.0,93,93
2003,4,162,75,87,N,N,753,5581,1492,529,86.0,744,4.64,1527,123,159.0,Pittsburgh Pirates,1636751.0,102,102
2003,5,162,64,98,N,N,678,5531,1442,565,76.0,774,4.87,1458,102,141.0,San Diego Padres,2030084.0,91,92
2003,2,162,93,69,N,N,795,5561,1509,586,108.0,602,3.76,1340,65,159.0,Seattle Mariners,3268509.0,95,95
2003,1,161,100,61,N,N,755,5456,1440,593,53.0,595,3.73,1349,80,163.0,San Francisco Giants,3264898.0,99,98
2003,3,162,85,77,N,N,876,5672,1580,580,82.0,748,4.6,1544,77,138.0,St. Louis Cardinals,2910386.0,97,96
2003,5,162,63,99,N,N,715,5654,1501,420,142.0,787,4.93,1454,103,158.0,Tampa Bay Devil Rays,1058695.0,95,97
2003,4,162,71,91,N,N,826,5664,1506,488,65.0,903,5.67,1625,94,168.0,Texas Rangers,2094394.0,111,111
2003,3,162,86,76,N,N,894,5661,1580,546,37.0,748,4.69,1560,117,161.0,Toronto Blue Jays,1799458.0,104,104
2004,1,162,92,70,N,N,836,5675,1603,450,143.0,692,4.28,1476,90,126.0,Anaheim Angels,3375677.0,97,97
2004,5,162,51,111,N,N,615,5544,1401,441,53.0,794,4.98,1480,139,144.0,Arizona Diamondbacks,2519560.0,105,107
2004,1,162,96,66,N,N,803,5570,1503,587,86.0,603,3.74,1475,116,171.0,Atlanta Braves,2327565.0,101,100
2004,3,162,78,84,N,N,842,5736,1614,528,101.0,760,4.7,1488,110,161.0,Baltimore Orioles,2744018.0,98,99
2004,2,162,98,64,Y,Y,949,5720,1613,659,68.0,674,4.18,1430,118,129.0,Boston Red Sox,2837294.0,106,105
2004,2,162,83,79,N,N,865,5534,1481,499,78.0,782,4.91,1505,100,167.0,Chicago White Sox,1930537.0,102,102
2004,3,162,89,73,N,N,789,5628,1508,489,66.0,621,3.81,1363,86,126.0,Chicago Cubs,3170154.0,103,102
2004,4,162,76,86,N,N,750,5518,1380,599,77.0,832,5.19,1595,113,123.0,Cincinnati Reds,2287250.0,98,99
2004,3,162,80,82,N,N,858,5676,1565,606,94.0,784,4.81,1553,106,152.0,Cleveland Indians,1814401.0,94,94
2004,4,162,68,94,N,N,833,5577,1531,568,44.0,883,5.54,1634,89,161.0,Colorado Rockies,2338069.0,113,114
2004,4,162,72,90,N,N,827,5623,1531,518,86.0,788,4.93,1542,144,160.0,Detroit Tigers,1917004.0,95,96
2004,3,162,83,79,N,N,718,5486,1447,499,96.0,655,4.1,1395,86,153.0,Florida Marlins,1723105.0,95,95
2004,2,162,92,70,N,N,803,5468,1458,590,89.0,650,4.05,1416,101,136.0,Houston Astros,3087872.0,102,101
2004,5,162,58,104,N,N,720,5538,1432,461,67.0,813,5.15,1638,131,169.0,Kansas City Royals,1661478.0,102,103
2004,1,162,93,69,N,N,761,5542,1450,536,102.0,647,4.01,1386,73,145.0,Los Angeles Dodgers,3488283.0,95,95
2004,6,161,67,94,N,N,634,5483,1358,540,138.0,679,4.24,1440,117,132.0,Milwaukee Brewers,2062382.0,100,101
2004,1,162,92,70,N,N,780,5623,1494,513,116.0,661,4.03,1523,101,158.0,Minnesota Twins,1911490.0,103,102
